Drug,Gene,ICD,gene_ICD_ref,gene_ICD_TRUE_FALSE,gene_ICD_sentence,drug_gene_ref,drug_gene_TRUE_FALSE,drug_gene_sentence,Observations,keep_new
POSACONAZOLE,CYP3A,ASEPTIC NECROSIS OF BONE,"Medline_17787012,Medline_19997828",TRUE,,"Pmcoa_3707037,Medline_29339097,Pmcoa_5315728,Pmcoa_5506877",TRUE,"Strong CYP 3A4 inhibitors include ketoconazole, voriconazole, posaconazole, and ritonavir.",,new
ANDROGRAPHIS,TRPV4,ASEPTIC NECROSIS OF BONE,"Pmcoa_5035228,Medline_27330106",TRUE,These findings identify a novel TRPV4 mutation implicating TRPV4 and altered calcium homeostasis in the pathogenesis of osteonecrosis while reinforcing the importance of TRPV4 in bone diseases and vascular endothelium.,"Pmcoa_2645550,Patent_EP3195857A1,Medline_16899456,Patent_US09693971,Patent_EP2879662B1,Patent_US20160128933A1,Patent_EP2879662A1",TRUE,"Very recently, a new TRPV4 agonist was identified. An extract from the plant Andrographis paniculata potently activate TRPV4 channels.",,new
COPANLISIB,ERBB2,BONE PAGET DISEASE,"Medline_21030863,Medline_20418225",FALSE,"In women, for instance, immunoexpression of c-erbB-2 favors a diagnosis of vulvar Paget disease, according to some studies. ","Pmcoa_5237710,Pmcoa_5225172,Medline_24170767",-,,,keep
ADO-TRASTUZUMAB EMTANSINE,ERBB2,BONE PAGET DISEASE,"Medline_21030863,Medline_20418225",FALSE,,"Pmcoa_4679405,Medline_26606967,Patent_WO2017087280A1,Patent_US20100099109,Pmcoa_5704598,Patent_EP3237065A1,Medline_25873876,Pmcoa_4376930,Medline_25790739,Patent_EP2796424B1,Patent_EP2796424A1,Patent_US20150071913,Patent_US9713572,Pmcoa_4112050,Pmcoa_4229898,Pmcoa_3973200,Pmcoa_4876844,Medline_25976081,Patent_EP2640727B1,Patent_US20120121615,Patent_US20110165155,Patent_US20140044709,Patent_US20150265723,Patent_US20170202973,Pmcoa_3337408,Pmcoa_4346691,Pmcoa_4058749,Pmcoa_5084478,Pmcoa_4793192,Patent_WO2017177199A2,Medline_23783223,Medline_26892972,Medline_26172389,Pmcoa_4501549,Medline_24987913,Medline_27497829,Patent_EP2771295A1,Patent_EP2771295B1,Patent_US20130216742,Patent_US20150366756,Patent_US9474688,Patent_WO2013063275A1,Medline_20421541,Medline_26557900,Medline_25024070,Medline_28679774,Pmcoa_3669149,Pmcoa_4629048,Pmcoa_5187895,Pmcoa_5768410,Medline_27366963,Medline_21986845,Medline_25342987,Medline_25332421,Medline_25865453,Medline_26389758,Medline_27572338,Medline_25398397,Pmcoa_5627411,Medline_29559276,Pmcoa_3502230,Medline_23402224,Medline_24043217,Medline_24662957,Medline_23946617,Medline_28056202,Medline_26917603,Patent_EP3107577A1,Patent_US20150132217,Patent_US20160361360,Patent_US20170035886,Patent_US20150231241,Patent_WO2015126548A1,Patent_WO2017007846A1,Patent_WO2017147542A2,Patent_WO2016141169A1,Patent_WO2016196373A2,Pmcoa_4596905,Pmcoa_5455677,Pmcoa_5278255,Medline_24035823,Medline_24898067,Pmcoa_4058446,Patent_US20170136043,Patent_US20150291605,Patent_US20150290197,Patent_US20150291606,Patent_US20150290212,Patent_US9555031,Patent_US20150291609,Patent_US20170202847,Patent_US9555030,Patent_WO2015157128A1,Patent_US9603850,Patent_WO2015153978A1,Patent_WO2015157115A1,Patent_WO2015157127A1,Patent_WO2015157123A1,Patent_WO2015157122A1,Patent_WO2015157125A1,Pmcoa_4596896,Pmcoa_5578078",-,,,keep
MM-302,ERBB2,BONE PAGET DISEASE,"Medline_21030863,Medline_20418225",FALSE,,"Medline_26759238,Patent_WO2017136770A1,Patent_EP2925361A1,Patent_US20170189335,Patent_US20160038416,Patent_US20160038417,Patent_US9226966,Patent_US9610249",-,,,keep
CP 724714,ERBB2,BONE PAGET DISEASE,"Medline_21030863,Medline_20418225",FALSE,,"Medline_28902361,Patent_EP2968564A1,Patent_US20050119288,Patent_US20080119530,Patent_US20160376376,Patent_US20150315244,Patent_US20160022680,Patent_US9303069,Patent_WO2014142660A1,Pmcoa_5831215,Pmcoa_5592866,Pmcoa_5882317",-,,,keep
TRAST,ERBB2,BONE PAGET DISEASE,"Medline_21030863,Medline_20418225",FALSE,,"Pmcoa_4891060,Patent_WO2016193955A1,Pmcoa_4891137,Pmcoa_3218942",-,,,keep
PATRITUMAB,ERBB2,BONE PAGET DISEASE,"Medline_21030863,Medline_20418225",FALSE,,"Pmcoa_4484825,Pmcoa_5084669,Pmcoa_4323007,Medline_25474137,Pmcoa_5117489",-,,,new
IMETELSTAT SODIUM,ERBB2,BONE PAGET DISEASE,"Medline_21030863,Medline_20418225",FALSE,,"Medline_18853252,Medline_25627551",-,,,new
IOPAMIDOL,BAX,CHRONIC ULCERATIVE COLITIS,"Medline_11413108,Medline_17629044",FALSE,Bcl-2/Bax system does not appear to be involved in the induction of apoptosis in UC.,"Pmcoa_5364980,Medline_28260077",-,,,keep
ATRACURIUM,BAX,CHRONIC ULCERATIVE COLITIS,"Medline_11413108,Medline_17629044",FALSE,,"Medline_27729798,Pmcoa_5042291",-,,,keep
HYDROXYMETHYLFURFURAL,BAX,CHRONIC ULCERATIVE COLITIS,"Medline_11413108,Medline_17629044",FALSE,,"Pmcoa_4846015,Pmcoa_4146024",-,,,keep
ISOVALERATE,BAX,CHRONIC ULCERATIVE COLITIS,"Medline_11413108,Medline_17629044",FALSE,,"Patent_EP2658535A1,Patent_WO2012092035A1",-,,"Only patent references, impossible to proove it true or false.",new
OXIDIZED ASCORBATE,BAX,CHRONIC ULCERATIVE COLITIS,"Medline_11413108,Medline_17629044",FALSE,,"Pmcoa_4363333,Medline_29644528",-,,,new
TAUROLIDINE,BAX,CHRONIC ULCERATIVE COLITIS,"Medline_11413108,Medline_17629044",FALSE,,"Pmcoa_3852505,Pmcoa_3551657,Pmcoa_3816653",-,,,new
DECANOATE,BAX,CHRONIC ULCERATIVE COLITIS,"Medline_11413108,Medline_17629044",FALSE,,"Medline_19857057,Medline_24335837,Pmcoa_4075746",-,,,new
MIMOSINE,CCND1,CHRONIC ULCERATIVE COLITIS,"Medline_12827612,Patent_US20140031389,Patent_US20100285002",FALSE,It is unclear whether and how cyclin D1 and/or p21(WAF1/CIP1) dysregulation contribute to ulcerative colitis (UC)-related inflammation and colorectal carcinogenesis. ,"Medline_10995875,Medline_10530763",-,,,keep
RONICICLIB,CCND1,CHRONIC ULCERATIVE COLITIS,"Medline_12827612,Patent_US20140031389,Patent_US20100285002",FALSE,,"Pmcoa_5427913,Patent_US20180163178",-,,,keep
VISMODEGIB,CCND1,CHRONIC ULCERATIVE COLITIS,"Medline_12827612,Patent_US20140031389,Patent_US20100285002",FALSE,,"Pmcoa_3975838,Pmcoa_5801594,Patent_EP2473522B1,Patent_US09910050,Patent_US9910050",-,,,new
CIS-UROCANIC ACID,CLDN1,CHRONIC ULCERATIVE COLITIS,"Pmcoa_5602518,Medline_20871038",FALSE,,"Patent_US20140086977,Patent_EP2691090A2,Patent_WO2012131341A2",-,,"Only patent references, impossible to proove it true or false.",new
UNII-88928BS57E,CXCL2,CHRONIC ULCERATIVE COLITIS,"Pmcoa_2644704,Medline_23272179,Pmcoa_3525572,Pmcoa_4812449",TRUE,"From our data, we conclude that real-time PCR quantification of CXCL8, CXCL10, calgranulin B and CXCL2 in colonic biopsies is a simple and objective method for grading inflammation of intestinal mucosa in UC.","Medline_28749086,Pmcoa_5722510",TRUE,"Pretreatment with PLAG reduced the levels of interleukin (IL)-4, IL-6, IL-10, and CXCL2, but maintained interferon (IFN)-γ levels and modulated neutrophil recruitment toward the liver.",UNII-… is also called EC-18,keep
LY-2874455,FGFR1,CHRONIC ULCERATIVE COLITIS,"Medline_28928792,Pmcoa_5591922",TRUE,"Garidisan elevated EGF, VEGF, bFGF, VEGFR2, and FGFR1 of UC rats, reduced CD3+CD4+/CD3+CD8+ T cell ratios, and increased CD4+Th1/CD4+Th2 cell ratios and IFN-r/IL-4 ratios in peripheral blood of UC rats","Pmcoa_5019380,Medline_27618313",TRUE,"Consequently, our studies reveal new insights into the pan-FGFR selectivity of LY2874455 and provide a structural basis for developing novel FGFR inhibitors that target FGFR1-4 broadly.",,keep
VX 950,KRAS,CHRONIC ULCERATIVE COLITIS,"Medline_2194896,Medline_1854618,Pmcoa_1977292,Medline_1350261",TRUE,This lower prevalence rate and different site distribution of c-Ki-ras mutations in UC carcinomas compared to sporadic carcinomas suggests that specific genetic differences may underlie the causation of carcinomas arising in these situations.,"Patent_EP1678202A1,Patent_EP1678202B1,Patent_WO2005042570A1,Patent_US20080267915,Medline_19505593,Patent_US20110243894,Patent_US20100074890,Patent_US20110008289,Patent_US20110110891,Patent_WO2005110455A2,Patent_WO2006016930A2,Patent_US8603737,Patent_EP2054076A2,Patent_WO2011049987A2,Patent_EP1987060A2,Patent_EP1789074A2,Patent_EP2491033A2,Patent_US20180000926,Patent_EP3244922A1,Patent_US20100093824,Patent_US20070258946,Patent_US20060204473,Patent_US20080131398,Patent_WO2006020580A2,Patent_EP2341924A2,Patent_US7597884,Patent_US20060182716,Patent_US20150098926,Patent_US20130195798,Patent_WO2010081095A2,Patent_WO2016112459A1,Patent_WO2005067963A1,Patent_WO2008143647A2,Patent_WO2007092537A2,Patent_WO2010039801A2,Patent_EP2500021A1,Patent_EP2157974A1,Patent_US20060105978,Patent_EP2328656A1,Patent_WO2006050250A2,Patent_EP1819336A2,Patent_US20100189688,Patent_US20110236351,Patent_WO2010036799A1,Patent_US8871812,Patent_WO2008144072A1,Patent_EP1804821A2,Patent_EP2374464A2,Patent_WO2006039488A2,Patent_US20110059886,Pmcoa_3861371,Patent_US7884199,Patent_US20090191555,Patent_US20100028874,Patent_US20050136400,Patent_EP2016195A2,Patent_US20110086006,Patent_US7494660,Patent_US20090004664",FALSE,"We tested the effect of VX950, a specific inhibitor of NS3/4A protease, on C4 cleavage by NS3/4A protease and inhibition of complement activation. ",,keep
RILOTUMUMAB,KRAS,CHRONIC ULCERATIVE COLITIS,"Medline_2194896,Medline_1854618,Pmcoa_1977292,Medline_1350261",TRUE,,"Pmcoa_4037834,Pmcoa_5344276",FALSE,"Recently, phase I and II trials of HGF-targeted monoclonal antibodies, such as TAK701, AMG102 (rilotumumab) and SCH900105 (AV299), have been carried out in solid tumours (Meetze et al, 2009). A phase II randomised trial that compared rilotumumab or ganitumab (AMG 479) with panitumumab vs panitumumab alone in KRAS wild-type patients with mCRC revealed that the arm with rilotumumab achieved better response and PFS compared with panitumumab alone (Eng et al, 2011). ",,keep
RACECADOTRIL,MME,CHRONIC ULCERATIVE COLITIS,"Medline_29232715,Pmcoa_5726735",TRUE,Concurrent decreases in SP and VIP with profound loss of NEP expression observed in UC is likely to be one of the factors in pathogenesis.,"Pmcoa_3362754,Pmcoa_4851326,Medline_12106279,Medline_1421123,Medline_7473405,Patent_US20150342882,Patent_US20160120834,Patent_WO2017026994A1,Medline_26731112,Medline_3519939,Medline_3554169,Medline_7509244,Medline_19300128,Medline_1376694,Medline_1780043,Medline_10646048,Medline_10944563,Medline_2716968,Medline_2702924,Medline_27642742,Medline_2790459,Medline_3532054,Medline_2142087,Patent_WO2016066758A1,Medline_2018165,Medline_1624154,Medline_10717503,Medline_1285638,Medline_10646045,Medline_1350927,Medline_1666049,Medline_26907621,Medline_1348542,Medline_2142086,Medline_1788138,Medline_8804878,Patent_EP1718337B1,Medline_3131801,Medline_19610134,Medline_10717505,Medline_22661949,Patent_EP1563848A1,Medline_27209450,Medline_9355786,Medline_2780419,Medline_3121843,Medline_2612837,Medline_2758762,Patent_US20070275993,Medline_8488368,Patent_EP1718337A1,Patent_US8222294,Patent_EP3212211A1,Patent_WO1989005353A1,Pmcoa_3694821,Patent_WO2005079850A1,Pmcoa_3875871,Pmcoa_3085874,Patent_WO2015160703A1,Patent_WO1991001756A1,Pmcoa_3561631,Pmcoa_4695804",TRUE,"n conclusion, racecadotril and its metabolite acetyl-thiorphan are only low potency NEP inhibitors. However, racecadotril is rapidly converted to the active metabolite thiorphan in vitro (Lecomte et al., 1986) and in vivo (see Pharmacokinetic and Drug–Drug Interaction Studies), and thiorphan is an about 1000 times more potent NEP inhibitor than racecadotril with reported potencies of 0.4–9 nM.",Most of the references mention the drug related to Enkephalinase; MME is one of the subtypes of those enzymes.,keep
TEMOCAPRIL,MME,CHRONIC ULCERATIVE COLITIS,"Medline_29232715,Pmcoa_5726735",TRUE,,"Patent_EP2665701A2,Patent_US20100311800,Patent_WO2011100384A1,Patent_WO2012122077A1,Patent_EP2250168B1,Patent_EP2498605B1,Patent_EP2683687B1,Patent_EP2244575B1,Patent_EP2225225A2,Patent_EP2250158A2,Patent_EP2485734B1,Patent_EP2250168A2,Patent_EP2291076A1,Patent_EP2326652B1,Patent_EP2369924A1,Patent_EP2373630A1,Patent_EP2571351A1,Patent_EP2632255B1,Patent_EP2533644A1,Patent_US20100029678,Patent_EP2121664A2,Patent_EP1874302A1,Patent_EP2313417A1,Patent_EP2121665A2,Patent_EP2244575A1,Patent_EP2121664B1,Patent_EP2533644B1,Patent_US20100144810,Patent_US20120208838,Patent_US20110160229,Patent_US20110230532,Patent_EP2121665B1,Patent_EP2498605A1,Patent_US20130053352,Patent_EP2334179A1,Patent_EP2326652A1,Patent_EP2369924B1,Patent_EP2571351B1,Patent_EP2632255A1,Patent_EP2704568A1,Patent_US8252825,Patent_US20090123538,Patent_US20100273845,Patent_US20100298277,Patent_US20100305135,Patent_US7947664,Patent_US8354394,Patent_US8361994,Patent_US20130059823,Patent_US20140088048,Patent_US8053455,Patent_US20100152259,Patent_US20100292192,Patent_US20120238608,Patent_US20130296278,Patent_US20080194660,Patent_US20100152258,Patent_US20110065765,Patent_US8329697,Patent_US8629275,Patent_US9108920,Patent_EP2257161B1,Patent_EP2485734A1,Patent_EP2683687A1,Patent_US20110201621,Patent_US8367711,Patent_US8623846,Patent_US20120232039,Patent_US9272987,Patent_US7834042,Patent_WO2009099853A2,Patent_WO2009106470A2,Patent_WO2010027935A1,Patent_WO2012151114A1,Patent_WO2009070241A2,Patent_WO2011146371A1,Patent_US20110077279,Patent_US20130289003,Patent_US7880014,Patent_US8293777,Patent_US8648058,Patent_WO2012099770A2,Patent_WO2010015447A1,Patent_WO2010062415A1,Patent_WO2011053519A1,Patent_WO2012058203A1,Patent_US8106034,Patent_US8119806,Patent_US8207208,Patent_US8530521,Patent_US20120202845,Patent_WO2010014516A1,Patent_US8377911,Patent_WO2009150007A1,Patent_WO2008076246A2,Patent_WO2009094242A1,Patent_WO2011043914A1,Patent_WO2010065432A1,Patent_WO2006115834A1,Patent_WO2008076245A2,Patent_WO2009140111A1,Medline_15897363",FALSE,"The hypertensive rats were randomized into groups that received no treatment or were treated with an ACE inhibitor (temocapril), an ECE/NEP inhibitor (CGS 26303), or a NEP inhibitor (CGS 24592) from the LVH stage (11 weeks) to the CHF stage (17 weeks).",,new
CANDOXATRILAT,MME,CHRONIC ULCERATIVE COLITIS,"Medline_29232715,Pmcoa_5726735",TRUE,,"Patent_US20050261179,Patent_EP1545287A2,Patent_WO2004032708A2,Patent_EP1545287B1,Patent_US7364719,Medline_16821800,Patent_WO2007003594A1,Patent_WO2004056787A1,Medline_12941780,Medline_10595958,Patent_EP1581480A1,Patent_US20050075392,Medline_18725584,Medline_9639376,Patent_EP1578735A1,Patent_US8993631,Pmcoa_4869613,Patent_US7045653,Medline_29591681,Patent_WO2012065958A1,Medline_12354448,Patent_US20120122844,Patent_US20140336194,Patent_EP2640375A1,Pmcoa_3181606,Patent_WO2004056750A1,Pmcoa_2643003,Medline_9729514,Patent_EP1581480B1,Patent_US20040138274",TRUE,The neutral endopeptidase inhibitor candoxatrilat (5 mg/kg per day IV for 7 to 9 days) restored vagal reflex bradycardia in old rats (n=6) to levels similar to those in young neutral endopeptidase inhibitor-treated rats (n=6).,,new
GUANFACINE,ARSD,CROHN'S DISEASE,"Patent_US9050276,Patent_US20120207726,Pmcoa_5073317,Patent_WO2017172521A1",FALSE,"We have previously reported the molecular profile for histological ASD-associated ileocolitis that confirms, at the level of gene expression, the presence of ASD-associated IBD and discriminates it from Crohn’s disease and ulcerative colitis19.","Pmcoa_5789216,Patent_US20170348417,Patent_WO2014168820A1,Patent_EP2983652A1,Pmcoa_3420490",FALSE,,,new
TOLBUTAMIDE,GAST,CROHN'S DISEASE,"Medline_28443771,Patent_EP2010569A2,Patent_US20090311257,Patent_US8278421,Patent_WO2007111661A2,Medline_12795463",TRUE,Gastrin release in response to bombesin decreases in patients with Crohn disease treated with infliximab.,"Medline_3065196,Medline_6642411",TRUE,"Thus, our data suggest that tolbutamide inhibits gastrin release in man via mechanisms independent of changes in plasma insulin, blood glucose or acid secretion.",,keep
METIAMIDA,GAST,CROHN'S DISEASE,"Medline_28443771,Patent_EP2010569A2,Patent_US20090311257,Patent_US8278421,Patent_WO2007111661A2,Medline_12795463",TRUE,,"Medline_1686922,Medline_11029,Medline_437421,Medline_184871",TRUE,"It is concluded that in spite of rises in serum gastrin, prolonged metiamide medication has no effect on the gastrin content of the antrum and gastric corpus nor on the G-cell population in the rat. Furthermore, after prolonged treatment, metiamide-induced gastrin release is diminished.",,keep
HOMOSERINE LACTONE,GLS,CROHN'S DISEASE,"Medline_17078002,Medline_15735434,Patent_EP3048904A2,Patent_US20160317614",TRUE,We analyzed the systemic and intestinal glutamine status in Crohn's disease (CD) and evaluated the therapeutic effect of glutamine supplementation in an animal model of ileitis.,"Pmcoa_5442451,Medline_28536283",FALSE,-,,new
AT7519,MCL1,CROHN'S DISEASE,"Medline_18266233,Medline_28190086",TRUE,"Finally, immunohistochemistry showed reduced MCL-1 protein expression in fibrotic CD samples compared to non-stricturing controls. ","Pmcoa_4891027,Pmcoa_3940382",TRUE,"We first confirmed that AT7519 induced rapid down-regulation of MCL1 mRNA (Figure 5A and 5B), and then used siRNA to suppress its expression in MCF-7 cells (Figure ​(Figure5C).5C).",,keep
CRYSTAL VIOLET SOLUTION,NOX1,CROHN'S DISEASE,"Medline_24374371,Pmcoa_5148781,Pmcoa_4943970",FALSE,"DUOX2 and NOX1 variants are associated with VEO-IBD patients who demonstrate lower activity than healthy controls [62]. However, DUOX2 and DUOXA2 expression were induced up to 16- and 52-fold, respectively, in pediatric and adult Crohn's disease patients","Pmcoa_3977805,Pmcoa_5651112",-,,,keep
ENTOLIMOD,TLR5,CROHN'S DISEASE,"Medline_16319670,Medline_28139755,Medline_16439468",TRUE,Our results suggest that SNPs associated with genetically determined high activity of TLR5 among patients with CD and genetically determined high IL-12 and IL-18 levels among patients with UC were associated with non-response,"Patent_US9376473,Patent_US20170065692,Medline_28407032,Medline_24583651,Patent_US20140248260,Pmcoa_5825991,Patent_EP2833876A1,Patent_WO2013151994A1,Pmcoa_3314012,Medline_24879439,Pmcoa_5385203,Medline_28273362,Pmcoa_3674368,Pmcoa_5126092,Medline_24454895,Pmcoa_3823175,Pmcoa_5737079,Pmcoa_5799711,Patent_WO2014098649A1,Pmcoa_3891810,Pmcoa_4823082,Pmcoa_4998329,Medline_26655090,Pmcoa_3782517,Pmcoa_3996654,Pmcoa_5628280,Patent_EP3206708A2,Patent_US20170239326,Patent_WO2016109002A2,Pmcoa_4418776,Pmcoa_4569586,Medline_28323577,Pmcoa_4039429,Medline_26367124,Pmcoa_5689665",TRUE,The method developed here could be an effective in vitro system to screen other TLR5-target radioprotectants like CBLB502.,,keep
MOMETASONE,HPSE,FIBROMYALGIA,"Patent_US20090081243,Patent_EP2527446A1,Patent_US20150322517,Patent_EP2527447A1,Patent_EP1766014A1,Patent_EP2270034A2,Patent_WO2005118810A1,Medline_18158367,Pmcoa_416451,Patent_US20130034537,Pmcoa_416440",FALSE,Chronic pelvic pain (CPP) and fibromyalgia syndrome (FMS) have been associated with hypothalamic-pituitary-adrenal (HPA) axis alterations,"Medline_22409907,Pmcoa_3339360",-,,,keep
GLUCURONIC ACID,HPSE,FIBROMYALGIA,"Patent_US20090081243,Patent_EP2527446A1,Patent_US20150322517,Patent_EP2527447A1,Patent_EP1766014A1,Patent_EP2270034A2,Patent_WO2005118810A1,Medline_18158367,Pmcoa_416451,Patent_US20130034537,Pmcoa_416440",FALSE,,"Medline_26062789,Medline_15647251",-,,,new
CISATRACURIUM,MAP1LC3A,FIBROMYALGIA,"Medline_26772544,Pmcoa_4715288",FALSE,"Their answers to the set of FM-symptom questions in 1990 classified them in three latent classes (LC): LC1 with no or few symptoms, LC2 with some symptoms, and LC3 with many FM symptoms.","Medline_27058536,Pmcoa_4848971",-,,,keep
GLYCERALDEHYDE 3 PHOSPHATE,TKT,FIBROMYALGIA,"Pmcoa_1876608,Medline_2407767",TRUE,Fifty patients with abnormal transketolase activity coefficient (ETK-AC) and affinity for coenzyme (Km-TPP) had associated fibromyalgia or senile dementia of Alzheimer type (20).,"Medline_24456572,Pmcoa_317351",FALSE,,,keep
GLYCERALDEHYDE-3-PHOSPHATE,TKT,FIBROMYALGIA,"Pmcoa_1876608,Medline_2407767",TRUE,,"Pmcoa_4580311,Pmcoa_2690845,Patent_US20080234304A1,Patent_US20080234304",FALSE,,,new
SULBACTAM,CD248,GRANULOMATOSIS WITH POLYANGIITIS,"Medline_28615072,Pmcoa_5471953",FALSE,Chemokine receptor co-expression analysis within the CD4+ TEM cell population demonstrated a significant increase in the proportion of TEM17 cells with a concomitant significant decrease in the TEM1 cells in GPA patients compared to HC.,"Pmcoa_5036594,Medline_9527373,Pmcoa_5456380,Medline_7606585,Medline_9062788",-,,,keep
MORAB-004,CD248,GRANULOMATOSIS WITH POLYANGIITIS,"Medline_28615072,Pmcoa_5471953",FALSE,,"Pmcoa_4694842,Pmcoa_5124654,Pmcoa_4985356,Medline_26327620,Patent_EP2568044A1,Patent_US9290556,Patent_US20160331819,Patent_EP2568044B1,Patent_US20120035529",-,,,new
FERRIC CARBOXYMALTOSE,FGF23,KAWASAKI DISEASE,"Medline_24168888,Pmcoa_3832880",TRUE,The prevalent segregation of the c.212-37insC polymorphism in children with CaA advocates a possible functional FGF23 role in the predisposition to higher serum levels of FGF23 and potential occurrence of any coronary artery abnormalities in KS.,"Pmcoa_5353490,Pmcoa_5419608",TRUE,"Furthermore, ferric carboxymaltose may inhibit i-FGF23 degradation in osteocytes resulting in transiently increased i-FGF23 levels [21].",,new
LANTHANUM CARBONATE,FGF23,KAWASAKI DISEASE,"Medline_24168888,Pmcoa_3832880",TRUE,,"Medline_21436379,Pmcoa_4170220,Medline_24885942,Pmcoa_5509238,Pmcoa_3379863,Pmcoa_4107721",TRUE,"In conclusion, lanthanum carbonate reduced phosphate load, as assessed by urinary phosphate excretion, and also reduced plasma FGF23 in CKD-3 patients. ",,new
BUROSUMAB,FGF23,KAWASAKI DISEASE,"Medline_24168888,Pmcoa_3832880",TRUE,,"Pmcoa_5826173,Patent_US20150353633,Patent_EP3151859A1,Medline_29947083,Pmcoa_6223702,Medline_29679282,Pmcoa_6073187",TRUE,"Burosumab (Crysvita®), a fully human IgG1 monoclonal antibody directed at fibroblast growth factor 23 (FGF23), is indicated for the treatment of X-linked hypophosphatemia (XLH), a condition associated with excessive FGF23 production.",,new
C5H3N4O,EEF1A1,LYME DISEASE,"Medline_26954993,Pmcoa_5176084",FALSE,"We found that EF-Tu is highly immunogenic in mice, and EF-Tu antibodies were readily detected in Lyme disease patients.","Pmcoa_2896532,Pmcoa_5059743",-,,,keep
ZINC ACETATE,RAD51,LYME DISEASE,"Pmcoa_5663514,Medline_29088268,Patent_US20150232517,Patent_EP2889382A1,Medline_8566765,Patent_US20160289746,Patent_EP3044337A2,Patent_US20150250865,Patent_US20160333056",FALSE,"An enhanced need, relative to E. coli RecA, for sequestration of the displaced strand indicates that the reaction promoted by B. burgdorferi RecA is more prone to reversal if the displaced strand is not sequestered. Precedent for this role for a single-stranded DNA binding protein is found in studies with yeast RPA and Rad51 [36]","Pmcoa_4072484,Pmcoa_5440055",-,,,keep
D-TREITOL,RAD51,LYME DISEASE,"Pmcoa_5663514,Medline_29088268,Patent_US20150232517,Patent_EP2889382A1,Medline_8566765,Patent_US20160289746,Patent_EP3044337A2,Patent_US20150250865,Patent_US20160333056",FALSE,,"Patent_EP1874801A2,Patent_WO2009154828A2,Patent_WO2006096757A2",-,-,"Only patent references, impossible to proove it true or false.",new
NALIDIXIC ACID,TOP2A,LYME DISEASE,"Patent_US20030170693,Medline_10469665",FALSE,-,"Medline_7766118,Patent_EP2603601A2,Medline_16667857,Patent_US20130324437,Medline_7504668,Medline_2547335,Medline_1332615,Medline_2856355,Medline_3004325,Medline_12948384,Medline_8381639,Medline_2558950,Patent_WO2012021802A2,Pmcoa_5739488,Patent_US20110065092,Medline_15347763,Pmcoa_4029002,Patent_US5656495,Patent_EP2522738A1,Medline_6450709,Patent_EP0723018A1,Medline_2407187,Patent_EP0723018B1,Medline_26331851,Medline_3008718,Medline_20958788,Medline_2570350,Pmcoa_3711813,Patent_US8703447,Patent_WO2000037676A1,Pmcoa_3565448,Pmcoa_3874168,Pmcoa_4230183,Pmcoa_4270457,Pmcoa_2553793,Patent_US20120322115,Pmcoa_4558043,Medline_8097554,Pmcoa_3001019,Medline_28825963,Medline_200930,Pmcoa_1635304,Pmcoa_3312209,Pmcoa_4207537,Pmcoa_3769818",-,,,keep
DINITROBENZENE,HBG2,POLYCYTHEMIA,"Medline_1634355,Medline_5796352",FALSE,"Hemoglobin Rainier (beta(145) tyrosine-->histidine) is an abnormal hemoglobin associated with increased oxygen affinity, decreased heme-heme interaction, presence of a Bohr effect, and erythrocytosis, but without obvious clinical sequelae.","Medline_3965845,Medline_7728905",-,,,keep
DESFERAL,TFRC,POLYCYTHEMIA,"Medline_1890732,Medline_9830813",TRUE,"The serum TfR was increased in iron deficiency anemia, hemolytic anemia and polycythemia and was decreased in aplastic anemia. ","Pmcoa_5226510,Medline_15993339,Medline_27384479",TRUE,"Taken together, these results demonstrated that the combination of desferal with oxaliplatin can overcome oxaliplatin resistance through the regulation of hCtr1 and TfR1, and may have beneficial effect for treatment of patient with oxaliplatin-refractory tumors.",,keep
MANNOSE 6-PHOSPHATE,TFRC,POLYCYTHEMIA,"Medline_1890732,Medline_9830813",TRUE,,"Medline_7642700,Pmcoa_2199957",FALSE,"We studied the role of endosomes acidification on the endocytic trafficking of the transferrin receptor (TfR) as a representative for the recycling pathway, the cation-dependent mannose 6-phosphate receptor (MPR) as a prototype for transport to late endosomes, and fluid-phase endocytosed HRP as a marker for transport to lysosomes.",,keep
PROCARBAZINE,ADCY1,PSORIASIS,"Medline_1244187,Medline_167799,Medline_4376892",TRUE," These results suggest that the adenyl cyclase system of the skin has different regulatory sites for adrenaline and PGE2 and that the enzyme is defective in the epidermis of the psoriatic plaque, especially at the adrenaline regulatory site.","Patent_US20150056646,Patent_US9365623,Patent_US20100303729,Patent_WO2010138727A1,Patent_US8822162",FALSE,-,"Only patent references, impossible to proove it true or false.",new
VERUCERFONT,CRHR1,PSORIASIS,"Medline_22350180,Medline_22360979,Medline_19560286",TRUE,A statistically significant increase of the expression of CRH-R1 was found in the skin biopsies of psoriasis patients compared with the control group patients.,"Medline_27109623,Pmcoa_4082482,Medline_29505471,Pmcoa_5652029",TRUE,"Animal models suggest that CRHR1 antagonists may have therapeutic utility in stress-related disorders, but these agents have not previously been investigated in patients with PTSD [22]. Functional activity and in vitro binding assays indicate that GSK561679 is a potent CRHR1 antagonist.",,keep
