"","Drug","Gene","ICD","gene_ICD_ref","drug_gene_ref"
"482","DERAMCICLANE","HTR2A","SCLERODERMA","Medline_19435465,Pmcoa_2688170,Pmcoa_2688175","Medline_10208325,Patent_US20010049394,Medline_10445375,Patent_WO2004112769A1,Patent_EP1660063A1"
"483","EPLIVANSERIN","HTR2A","SCLERODERMA","Medline_19435465,Pmcoa_2688170,Pmcoa_2688175","Patent_US20100196286,Pmcoa_3181701,Medline_10080245,Medline_9884116,Medline_10461892,Medline_10646521"
"484","EPACADOSTAT","IDO1","ARTHRITIS","Pmcoa_3781305,Pmcoa_4863962,Pmcoa_4277413,Medline_27647832,Patent_US20170273961,Patent_US20160046596,Patent_US9815811","Pmcoa_5564531,Medline_29275469,Medline_28412361,Medline_26990117,Medline_28053021,Medline_20197554,Patent_WO2016186967A1,Pmcoa_4926477,Pmcoa_5723122,Pmcoa_4886356,Pmcoa_5414054,Medline_28760910,Medline_20124451,Pmcoa_4539882,Pmcoa_5161421,Medline_27451018,Patent_US20160333009,Pmcoa_4646049,Pmcoa_5549368,Medline_28698009,Medline_28982752,Pmcoa_4887573,Pmcoa_5088186,Pmcoa_4744430,Pmcoa_5754410,Pmcoa_5122347,Pmcoa_5748880,Patent_US20160008374,Pmcoa_5043641"
"485","INTERFERON ALFA-2B","IFNA17","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_19000144,Patent_EP2536430A1,Patent_WO2011100786A1","Pmcoa_2963921,Patent_WO2003073998A2"
"486","DUSIGITUMAB","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Patent_US20160324962A1,Patent_US20160324962,Patent_EP3082859A1,Pmcoa_3845553,Medline_25193511"
"487","RENZAPRIDE","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Patent_EP2303269B1,Patent_EP2405756B1,Patent_US8552019,Patent_US20110082135,Patent_US8207169,Patent_US20130053382,Medline_22042973,Patent_WO2011137219A1,Patent_US8614221,Patent_EP2299825B1,Patent_US20130323232,Patent_EP2104669B1,Patent_EP2563358A1,Patent_US9110082,Patent_US20110092511,Patent_US20110230500,Patent_US8536193,Patent_EP2406250B1,Patent_US20120004240,Patent_EP2531185A2,Pmcoa_5073873,Patent_WO2011097166A2,Pmcoa_3868504,Patent_US8852590,Patent_US20120027757,Pmcoa_4292735,Patent_US20120058112,Medline_24173770,Patent_US20130273031,Patent_WO2010138362A1,Medline_23402816,Pmcoa_3853032"
"488","DALOTUZUMAB","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Pmcoa_5073873,Medline_26240353,Patent_US20130287763,Patent_US20130287763A1,Pmcoa_5526580,Pmcoa_4226664,Pmcoa_5356782,Patent_EP2531185A2"
"489","RHIGFBP-3","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Medline_16849573,Patent_US20040127411"
"490","ADAMANTAN-1-YL","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Pmcoa_3335256,Medline_22570653"
"491","GANITUMAB","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Medline_21846689,Pmcoa_5729466,Pmcoa_6288499,Medline_29123263,Pmcoa_3562316,Medline_24492468,Pmcoa_5356673,Clinicaltrial_NCT00563680,Pmcoa_3605519,Pmcoa_4253414,Pmcoa_5514969,Medline_25344862,Pmcoa_3569907,Medline_23741071,Pmcoa_5073873,Pmcoa_3005944,Pmcoa_3742217,Pmcoa_5438747,Pmcoa_4616748,Clinicaltrial_NCT01122199,Pmcoa_6111053"
"492","TAE226","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Medline_17431114,Pmcoa_4474554,Medline_19020730,Pmcoa_6040128,Medline_27531475"
"493","ROBATUMUMAB","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Medline_22188815,Pmcoa_4303167,Pmcoa_3081058,Medline_24905030,Medline_20124453,Pmcoa_4149550"
"494","PICROPODOPHYLLOTOXIN","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Clinicaltrial_NCT01721577,Clinicaltrial_NCT01561456,Clinicaltrial_NCT01466647,Pmcoa_5655304,Patent_US20180127752,Pmcoa_3056661,Pmcoa_4419619,Pmcoa_5226784,Pmcoa_5821369,Pmcoa_5626492,Patent_US20180127752A1,Pmcoa_3339548,Pmcoa_5654778,Medline_29573521,Pmcoa_4432799"
"495","FIGITUMUMAB","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Pmcoa_2920021,Pmcoa_3306383,Medline_27488947,Pmcoa_4973270,Pmcoa_4313785,Pmcoa_3359746,Pmcoa_4545894,Medline_26287334,Patent_WO2016004233A2"
"496","CIXUTUMUMAB","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Patent_US20140341922,Patent_US20140341922A1,Pmcoa_4059749,Medline_20166202,Medline_21450456,Pmcoa_4226664,Medline_24849545,Pmcoa_3022188,Pmcoa_3636761,Pmcoa_3563098,Pmcoa_3439855,Pmcoa_4253414,Pmcoa_3726753,Pmcoa_3590681,Pmcoa_6213641,Pmcoa_3514064,Pmcoa_5094996,Medline_25041791,Pmcoa_3344278,Medline_17875788,Pmcoa_3113372,Pmcoa_5996273,Medline_22323052,Pmcoa_4312119,Pmcoa_3425859,Patent_US07972600,Patent_US7972600,Pmcoa_4608384,Pmcoa_3938039,Medline_25543125,Pmcoa_6245538,Clinicaltrial_NCT00965250"
"497","LANTUS","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Medline_20730455,Pmcoa_3355935,Pmcoa_4219851,Pmcoa_3114335,Medline_14722023,Pmcoa_3699703,Pmcoa_3712049,Pmcoa_3581051,Medline_19153208,Pmcoa_4349771,Pmcoa_2832019,Pmcoa_4531810,Pmcoa_3960261"
"498","CERITINIB","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Pmcoa_4159407,Pmcoa_5700232,Pmcoa_5983153,Medline_29133622,Pmcoa_4491683,Medline_29067644,Pmcoa_5654778,Pmcoa_5817861,Pmcoa_5074703"
"499","INSULIN LISPRO","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Patent_EP2771026A1,Patent_WO2013063572A1"
"500","DEFOROLIMUS","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Pmcoa_3514839,Pmcoa_5073873"
"501","LINSITINIB","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Pmcoa_5302955,Patent_US20130158264,Pmcoa_4453276,Pmcoa_3356071,Pmcoa_5111065,Patent_US20110275644,Patent_US20110275644A1,Pmcoa_4419619,Pmcoa_3868504,Medline_29251331,Patent_US9943596,Pmcoa_5381259,Pmcoa_5934392,Patent_US20140154264A1,Patent_US20140303133,Pmcoa_5655304,Medline_27286459,Medline_30139840,Patent_EP3359157A1,Patent_US20120064072,Pmcoa_4741867,Pmcoa_5718000,Pmcoa_6345872,Medline_25483727,Medline_29207959,Patent_US20150269307,Patent_US20160144027,Patent_US20180259528A1,Pmcoa_5065953,Patent_US10064939,Patent_US20140154264,Patent_US20180203014A1,Patent_US20180280393,Medline_26956669,Patent_US09724393,Patent_US9632074,Patent_US9903855,Pmcoa_5834254,Patent_EP2350317A2,Patent_US20180203014,Pmcoa_3672007,Pmcoa_6197057,Patent_US20170258495,Patent_US20180125852,Pmcoa_4177604,Pmcoa_5094996,Pmcoa_5973613,Pmcoa_6026173,Medline_26561558,Patent_US20120064072A1,Patent_US20180280393A1,Patent_US8163509,Pmcoa_3302113,Pmcoa_4399020,Pmcoa_5226784,Patent_EP3253733A1,Patent_EP3285876A1,Patent_EP3294417A1,Pmcoa_4014081,Pmcoa_4246767,Pmcoa_4324539,Pmcoa_4598970,Pmcoa_5048293,Pmcoa_5814180,Medline_25573956,Patent_US20180125852A1,Pmcoa_3135278,Pmcoa_4887336,Pmcoa_5464869,Pmcoa_6314733,Medline_26429980,Patent_US20140303133A1,Patent_US20150269307A1,Patent_US20160144027A1,Patent_US20180028475A1,Patent_US20180259528,Pmcoa_4663284,Medline_24687941,Medline_24759003,Pmcoa_6335418,Patent_US09632074,Patent_US09903855,Patent_US9724393,Pmcoa_6169455,Clinicaltrial_NCT01013506,Medline_24161672,Medline_28440057,Patent_EP2780469A1,Pmcoa_3388245,Pmcoa_5216960,Pmcoa_6257058,Patent_US09943596,Patent_US20180028475,Pmcoa_3656383,Pmcoa_4835175,Pmcoa_5482604,Pmcoa_4164328,Pmcoa_6355913,Medline_22170383,Medline_29262576,Pmcoa_5226581,Pmcoa_5662764,Pmcoa_5031330,Pmcoa_4946092,Pmcoa_5732742,Medline_26041671,Pmcoa_6109055,Patent_US20110217309,Patent_US20110217309A1,Medline_21425998,Pmcoa_3717308,Pmcoa_3853032,Pmcoa_5482874,Patent_US8048621,Patent_US20120189641,Patent_EP2400985A2,Patent_US20120189641A1,Pmcoa_3141798,Pmcoa_4747355,Patent_US20130005733,Patent_US20130005733A1"
"502","D-GLUCOSE, 2-DEOXY-2-FLUORO-","IGF1R","PSORIASIS","Medline_10802619,Patent_EP1191941A1,Patent_US20050261230,Patent_US6900186,Patent_WO2000078341A1,Patent_EP1938819A2,Patent_EP1498121A1,Patent_US20040186169,Patent_US20090326248,Patent_US7662851,Patent_EP1597366B1,Patent_EP1597366A1,Patent_US20090286849,Patent_US20040171149,Patent_US20060234239,Patent_US20130096176,Patent_US20090111767,Patent_US8217017,Patent_US7468356,Patent_WO2004072284A1","Patent_US20090068110,Patent_WO2008079849A2"
"503","NIMOTUZUMAB","IGFBP3","AGE RELATED OSTEOPOROSIS","Pmcoa_4294440,Medline_25610822,Patent_US6518238,Patent_US6514937,Patent_WO1998036764A2,Patent_WO2000020024A2,Patent_WO2000006191A1","Medline_23232108,Pmcoa_3540017,Medline_22389159"
"504","NEDOCROMIL SODIUM","IGHG3","CHRONIC ULCERATIVE COLITIS","Pmcoa_4423463,Medline_2292347","Medline_8258687,Medline_8132219"
"505","ENTACAPONE","IGKV2D-29","ARTHRITIS","Pmcoa_3444801,Patent_EP0262710A1,Patent_EP0262710B1,Medline_15013106","Patent_EP2568809A1,Patent_EP2831074A1,Patent_WO2013144172A1"
"506","ZOXAZOLAMINE","IKZF1","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_24697319,Medline_22782532,Pmcoa_5869589","Medline_10712246,Patent_US20040248099"
"507","ARGININE HYDROCHLORIDE","IL1R1","ARTHRITIS","Pmcoa_2193870,Medline_12591910,Patent_EP2406280B1,Patent_EP2658550A1,Patent_EP2754668A2,Patent_US20130045212,Patent_US20150241429,Patent_US20170009228,Patent_US20160039919,Patent_WO2015104564A2,Patent_WO2012090005A1,Patent_US20040241141,Patent_US20070190030,Patent_WO2002083080A2,Patent_US20050142539","Pmcoa_3689800,Pmcoa_5451354"
"508","HYDROCODONE","IL36RN","PSORIASIS","Medline_28887889,Pmcoa_2118475,Pmcoa_4527112,Pmcoa_4383490,Medline_26701127,Pmcoa_5841435,Pmcoa_4405864","Medline_25409173,Pmcoa_6117637"
"509","DUPILUMAB","IL4R","CROHN'S DISEASE","Medline_11294568,Patent_EP1929043A2,Patent_EP1883708A1,Patent_EP1963534A2,Patent_US20090081658,Patent_WO2006116867A1,Patent_WO2007073478A2,Patent_WO2007025085A2","Pmcoa_5125042,Patent_US20170002060,Patent_WO2015105926A1"
"510","CHEMBL3622820","JAK1","PSORIASIS","Medline_25156366,Medline_29127481,Patent_US20140170157,Patent_WO2015106150A1,Pmcoa_4027021","Medline_29695516,Pmcoa_5923359"
"511","PEFICITINIB","JAK1","PSORIASIS","Medline_25156366,Medline_29127481,Patent_US20140170157,Patent_WO2015106150A1,Pmcoa_4027021","Pmcoa_4893099,Medline_28117214"
"512","CERDULATINIB","JAK1","PSORIASIS","Medline_25156366,Medline_29127481,Patent_US20140170157,Patent_WO2015106150A1,Pmcoa_4027021","Pmcoa_5355069,Pmcoa_4791274"
"513","ALENDRONATE SODIUM TRIHYDRATE","KARS","LYME DISEASE","Patent_US20120122092,Medline_9405621,Patent_US8206930,Patent_US6492131,Patent_WO2003029450A1,Medline_15862301,Patent_WO1999013057A1,Medline_12736820","Patent_US20030078211,Patent_US6432931,Patent_US6699850,Patent_US20020082244"
"514","FLECAINIDE","KCNQ1","CHRONIC ULCERATIVE COLITIS","Medline_26718405,Pmcoa_4748010","Pmcoa_2082660,Pmcoa_2311398"
"515","PHENYLBORONIC ACID","KCNQ1","CHRONIC ULCERATIVE COLITIS","Medline_26718405,Pmcoa_4748010","Pmcoa_2617778,Medline_19156197,Pmcoa_3520906"
"516","SPECTINOMYCIN","KITLG","SCLERODERMA","Medline_11167715,Patent_US20080152639,Patent_US9782337,Patent_EP1575364A2,Patent_WO2004053101A2,Medline_9732156,Patent_US20040170615","Patent_EP2311938B1,Patent_US20050181504,Patent_US6911201"
"517","ETIOCHOLAN-17.BETA.-OL-3-ONE","KITLG","SCLERODERMA","Medline_11167715,Patent_US20080152639,Patent_US9782337,Patent_EP1575364A2,Patent_WO2004053101A2,Medline_9732156,Patent_US20040170615","Medline_15953861,Pmcoa_2782195"
"518","PD173955","KITLG","SCLERODERMA","Medline_11167715,Patent_US20080152639,Patent_US9782337,Patent_EP1575364A2,Patent_WO2004053101A2,Medline_9732156,Patent_US20040170615","Patent_US20150366866A1,Patent_US20150366866,Medline_12154026,Patent_EP2945652A2,Medline_12556557"
"519","OXYMETHOLONE","KITLG","SCLERODERMA","Medline_11167715,Patent_US20080152639,Patent_US9782337,Patent_EP1575364A2,Patent_WO2004053101A2,Medline_9732156,Patent_US20040170615","Medline_15953861,Pmcoa_2782195"
"520","APSTATIN","KNG1","ARTHRITIS","Medline_11930961,Pmcoa_1781638,Patent_WO2007142431A1,Patent_US20150320761,Pmcoa_4421925","Medline_11336100,Pmcoa_4686180,Medline_11106490,Medline_10395480,Patent_US9212206,Patent_EP3223613A1"
"521","NITROPRUSSIDE","KNG1","ARTHRITIS","Medline_11930961,Pmcoa_1781638,Patent_WO2007142431A1,Patent_US20150320761,Pmcoa_4421925","Medline_3018483,Medline_1328139"
"522","TRANDOLAPRIL","KNG1","ARTHRITIS","Medline_11930961,Pmcoa_1781638,Patent_WO2007142431A1,Patent_US20150320761,Pmcoa_4421925","Medline_11325804,Medline_10392306,Patent_EP2568995A1"
"523","NITRENDIPINE","KNG1","ARTHRITIS","Medline_11930961,Pmcoa_1781638,Patent_WO2007142431A1,Patent_US20150320761,Pmcoa_4421925","Medline_1375223,Medline_2069780"
"524","MERCAPTOPROPIONYLGLYCINE","KNG1","ARTHRITIS","Medline_11930961,Pmcoa_1781638,Patent_WO2007142431A1,Patent_US20150320761,Pmcoa_4421925","Pmcoa_2919536,Medline_20670410"
"525","ZALTOPROFEN","KNG1","ARTHRITIS","Medline_11930961,Pmcoa_1781638,Patent_WO2007142431A1,Patent_US20150320761,Pmcoa_4421925","Medline_17258326,Medline_21519044,Medline_15857630"
"526","ANATIBANT","KNG1","ARTHRITIS","Medline_11930961,Pmcoa_1781638,Patent_WO2007142431A1,Patent_US20150320761,Pmcoa_4421925","Pmcoa_2794266,Medline_10596852,Pmcoa_4448978"
"527","HYDROCORTISONE PROBUTATE","KNG1","ARTHRITIS","Medline_11930961,Pmcoa_1781638,Patent_WO2007142431A1,Patent_US20150320761,Pmcoa_4421925","Patent_US20080279856,Patent_EP1674110A1,Patent_WO2000066151A1,Patent_US20060154319"
"528","PIRETANIDE","KNG1","ARTHRITIS","Medline_11930961,Pmcoa_1781638,Patent_WO2007142431A1,Patent_US20150320761,Pmcoa_4421925","Medline_1951669,Medline_15034089"
"529","URODILATIN","KNG1","ARTHRITIS","Medline_11930961,Pmcoa_1781638,Patent_WO2007142431A1,Patent_US20150320761,Pmcoa_4421925","Patent_US20060239930,Patent_US20030064032,Patent_US20110268668,Medline_27432758,Patent_EP2078530A1,Patent_EP2185183A2,Patent_EP2185183B1,Patent_US8293711,Patent_US20100204446"
"530","INDAPAMIDE","KNG1","ARTHRITIS","Medline_11930961,Pmcoa_1781638,Patent_WO2007142431A1,Patent_US20150320761,Pmcoa_4421925","Medline_2109928,Medline_1656721"
"531","PINACIDIL","KNG1","ARTHRITIS","Medline_11930961,Pmcoa_1781638,Patent_WO2007142431A1,Patent_US20150320761,Pmcoa_4421925","Pmcoa_3113320,Pmcoa_3849788"
"532","NSC 11","KNG1","ARTHRITIS","Medline_11930961,Pmcoa_1781638,Patent_WO2007142431A1,Patent_US20150320761,Pmcoa_4421925","Medline_1318033,Medline_1397096"
"533","CETIRIZINE","KNG1","ARTHRITIS","Medline_11930961,Pmcoa_1781638,Patent_WO2007142431A1,Patent_US20150320761,Pmcoa_4421925","Medline_1362160,Medline_11003455,Medline_10782524,Medline_8886862"
"534","HYDROXOCOBALAMIN","KNG1","ARTHRITIS","Medline_11930961,Pmcoa_1781638,Patent_WO2007142431A1,Patent_US20150320761,Pmcoa_4421925","Medline_14691197,Medline_19421072"
"535","GRAZOPREVIR","KRAS","CHRONIC ULCERATIVE COLITIS","Medline_2194896,Medline_1854618,Pmcoa_1977292,Medline_1350261","Pmcoa_4690891,Medline_28228479,Medline_26926625"
"536","RILOTUMUMAB","KRAS","CHRONIC ULCERATIVE COLITIS","Medline_2194896,Medline_1854618,Pmcoa_1977292,Medline_1350261","Medline_24919569,Pmcoa_5344276"
"537","ABITUZUMAB","KRAS","CHRONIC ULCERATIVE COLITIS","Medline_2194896,Medline_1854618,Pmcoa_1977292,Medline_1350261","Medline_25319061,Patent_EP3131566A1"
"538","PARITAPREVIR","KRAS","CHRONIC ULCERATIVE COLITIS","Medline_2194896,Medline_1854618,Pmcoa_1977292,Medline_1350261","Pmcoa_4538512,Pmcoa_5376942"
"539","VX 950","KRAS","CHRONIC ULCERATIVE COLITIS","Medline_2194896,Medline_1854618,Pmcoa_1977292,Medline_1350261","Patent_EP1678202A1,Patent_EP1951748A2,Patent_WO2005042570A1,Patent_EP2392589A2,Patent_EP1678202B1,Patent_EP2392588A2,Patent_US20130344476,Patent_US7705138,Patent_US20070231262,Patent_US8501450,Patent_US20110244549,Patent_EP2392590A2,Medline_19505593,Patent_US7494660,Patent_US20110086006,Patent_US20090191555,Patent_US7884199,Patent_US20050136400,Patent_EP2016195A2,Patent_US20100028874,Patent_US8431615,Patent_EP1819336A2,Patent_US20060105978,Patent_WO2006050250A2,Patent_US20130101554,Patent_EP2280709A1,Patent_US20140127160,Patent_WO2010036799A1,Patent_EP2328656A1,Patent_WO2008144072A1,Patent_EP2157974A1,Patent_US20120045415,Patent_US8664273,Patent_EP2500021A1,Patent_US20100189688,Patent_US20110236351,Patent_US8871812,Patent_EP2374464A2,Patent_US20110059886,Patent_US20080267915,Pmcoa_2395260"
"540","FENDILINE","KRAS","CHRONIC ULCERATIVE COLITIS","Medline_2194896,Medline_1854618,Pmcoa_1977292,Medline_1350261","Medline_23129805,Patent_US20130296438,Patent_US20150344407,Patent_US9474730,Pmcoa_4536076"
"541","TRIFLURIDINE","KRAS","CHRONIC ULCERATIVE COLITIS","Medline_2194896,Medline_1854618,Pmcoa_1977292,Medline_1350261","Pmcoa_5581089,Pmcoa_5537908"
"542","LEUCOVORIN","KRAS","CHRONIC ULCERATIVE COLITIS","Medline_2194896,Medline_1854618,Pmcoa_1977292,Medline_1350261","Medline_24024839,Clinicaltrial_NCT01274624,Pmcoa_6252780"
"543","SCH503034","KRAS","CHRONIC ULCERATIVE COLITIS","Medline_2194896,Medline_1854618,Pmcoa_1977292,Medline_1350261","Medline_19505593,Patent_US8895598,Patent_US8975247,Patent_US20100260717"
"544","CHEMBL3545308","KRAS","CHRONIC ULCERATIVE COLITIS","Medline_2194896,Medline_1854618,Pmcoa_1977292,Medline_1350261","Medline_27283993,Pmcoa_4906406"
"545","DACLATASVIR","KRAS","CHRONIC ULCERATIVE COLITIS","Medline_2194896,Medline_1854618,Pmcoa_1977292,Medline_1350261","Medline_27776192,Medline_26562322,Medline_28315983,Medline_28225572"
"546","DOXAPRAM","KRT76","CHRONIC ULCERATIVE COLITIS","Medline_1587174,Patent_EP1753456A2,Patent_EP2386317A1,Patent_EP3047858A1,Patent_EP3067067A1,Patent_US20110020337,Patent_EP2007425A2,Patent_EP2465534A1,Patent_US20140205598,Patent_EP2386316A1,Patent_US20060018896,Patent_EP2386315A1,Patent_EP2488203A1,Patent_WO2005123128A2,Patent_EP2007425B1,Patent_EP2382991A1,Patent_EP3150635A2,Patent_EP2392350A1,Patent_US8652477,Patent_US20170233494,Patent_US20140056873,Patent_EP2460537A1,Patent_EP2446900A1,Patent_US20070172483,Patent_US20160272727,Patent_EP2446901A1,Patent_EP2457585A1,Patent_EP2465535A1,Patent_EP2446902A1,Patent_US20130266559,Patent_US20110091450,Patent_US20150064176,Patent_US20170233493,Patent_US20100074899,Patent_US20170166660,Patent_US8840893,Patent_US20110311549,Patent_WO2005123776A1,Patent_US20060002937,Patent_US7919094,Patent_WO2007117996A2,Patent_WO2011047346A1","Patent_EP2809669B1,Medline_16492828"
"547","6,6-DIMETHYL-1-[3-(2,4,5-TRICHLOROPHENOXY)PROPOXY]-1,6-DIHYDRO-1,3,5-TRIAZINE-2,4-DIAMINE","LANCL1","PSORIASIS","Medline_21957759,Patent_EP1906731A2,Patent_US20080200521,Patent_US20070004776,Patent_US7456292,Patent_WO2007005603A2","Patent_EP3215529A1,Patent_WO2016073406A1"
"548","APRACLONIDINE","LBR","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_2766336,Medline_3112222","Patent_US20170027991,Patent_US9415036"
"549","OCTANOATE","LBR","SYSTEMIC LUPUS ERYTHEMATOSUS","Medline_2766336,Medline_3112222","Pmcoa_5597195,Patent_US20110020886,Patent_US8658403,Pmcoa_3542253"
